hallazgo,prioridad,titulo,pasos,pruebas,puerta,estado,archivos_originales,cierre_requerido
FIN-01,P0,Las notas de crédito aumentan ingresos en lugar de revertirlos,S11 S12,NC01 NC02 NC03 CTA01,G2,Pendiente,backend/src/hotel-erp.Api/Services/AccountingService.cs; backend/src/hotel-erp.Api/Controllers/InvoicesController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
FIN-02,P0,Las operaciones se guardan parcialmente antes de devolver un error,S05 S10 S12,TX01 TX02 TX03 TX05,G2,Pendiente,backend/src/hotel-erp.Api/Controllers/ReservationsController.cs; backend/src/hotel-erp.Api/Controllers/InvoicesController.cs; backend/src/hotel-erp.Api/Database/Repositories/InvoiceRepository.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
FIN-03,P1,Las notas calculan impuestos desde LineTotal suministrado por el cliente,S08 S11,MON10 NC01 NC04,G2,Pendiente,backend/src/hotel-erp.Api/Controllers/InvoicesController.cs; frontend/src/pages/invoices/InvoicesPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
FIN-04,P1,Desglose fiscal de tasas y bases incorrecto,S01 S08 S21,MON02 MON03 REP03,G4,Pendiente,backend/src/hotel-erp.Api/Controllers/InvoicesController.cs; backend/src/hotel-erp.Api/Controllers/PurchaseInvoicesController.cs; backend/src/hotel-erp.Api/Controllers/ReportsController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
FIN-05,P1,Redondeo monetario inconsistente rompe la partida doble,S08 S10 S12,MON08 CTA02 TX02,G2,Pendiente,backend/src/hotel-erp.Api/Controllers/InvoicesController.cs; backend/src/hotel-erp.Api/Services/AccountingService.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
FIN-06,P1,Notas fiscales editables dejan hash y asientos obsoletos,S09 S11,FIS08 FIS09 FIS12 NC07,G2,Pendiente,backend/src/hotel-erp.Api/Controllers/InvoicesController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
FIN-07,P1,Los libros suman documentos sin aplicar su naturaleza ni estado,S11 S20 S21,REP01 REP02 REP03,G4,Pendiente,backend/src/hotel-erp.Api/Controllers/ReportsController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
FIN-08,P1,Pagar compras no registra la salida de dinero,S12 S16 S17,COM03 COM06 CTA04,G3,Pendiente,backend/src/hotel-erp.Api/Controllers/PurchaseInvoicesController.cs; backend/src/hotel-erp.Api/Services/AccountingService.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
FIN-09,P1,Compras duplicadas y borrado con saldos contradictorios,S13 S17,COM01 COM05 CTA04,G3,Pendiente,backend/src/hotel-erp.Api/Controllers/PurchaseInvoicesController.cs; backend/src/hotel-erp.Api/Services/AccountingService.cs; backend/src/hotel-erp.Api/Database/Repositories/AccountingRepository.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
FIN-10,P1,Caja y arqueos no representan cobros reales,S16 S24,PAG02 PAG03 PAG05 PAG06 PAG08,G3,Pendiente,backend/src/hotel-erp.Api/Controllers/CashRegistersController.cs; frontend/src/pages/reservations/CheckOutPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
FIN-11,P1,Cuentas históricas y cierre contable carecen de protección efectiva,S13 S20,CTA07 CTA10 DAT06,G4,Pendiente,backend/src/hotel-erp.Api/Controllers/ReportsController.cs; backend/src/hotel-erp.Api/Controllers/AccountingController.cs; frontend/src/pages/accounting/JournalEntriesPage.tsx,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
FIN-12,P2,Catálogo y estados financieros necesitan reglas de consolidación explícitas,S01 S12 S20,CTA08 CTA09,G4,Pendiente,backend/src/hotel-erp.Api/Controllers/AccountingController.cs; backend/src/hotel-erp.Api/Controllers/ReportsController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
HOT-01,P1,Disponibilidad por fechas se mezcla con estado físico actual,S13 S14,HOT01 HOT02 CON03,G3,Pendiente,backend/src/hotel-erp.Api/Database/Repositories/RoomRepository.cs; backend/src/hotel-erp.Api/Controllers/ReservationsController.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
HOT-02,P1,Transiciones de reserva permiten estados imposibles,S14 S15,HOT03 HOT05 TX01,G3,Pendiente,backend/src/hotel-erp.Api/Controllers/ReservationsController.cs; backend/src/hotel-erp.Api/Dtos/common/HotelDtos.cs,Evidencia de pruebas y firma de puerta; GD adicional si corresponde
